City,State,Code
Dimapur, India ,DMU
Dundee, United Kingdom ,DND
Dunhuang, China ,DNH
Dnepropetrovsk, Ukraine ,DNK
Denham, Australia ,DNM
Dinard, France ,DNR
Denizli, Turkey ,DNZ
Dobo, Indonesia ,DOB
Dodoma, Tanzania ,DOD
Dongola, Sudan ,DOG
Doha, Qatar ,DOH
Donetsk, Ukraine ,DOK
Deauville, France ,DOL
Dominica, Dominica - Melville Hall ,DOM
Dourados, Brazil ,DOU
Dipolog, Philippines ,DPL
Devonport, Australia ,DPO
Denpasar Bali, Indonesia ,DPS
Derby, Australia ,DRB
Deering, AK ,DRG
Dabra, Indonesia ,DRH
Durango, CO ,DRO
Dresden, Germany ,DRS
Darwin,Australia,DRW
Dessie, Ethiopia ,DSE
Dera Ismail Khan, Pakistan ,DSK
Des Moines, IA ,DSM
Datadawai, Indonesia ,DTD
Dortmund, Germany ,DTM
Detroit, MI - All airports ,DTT
Detroit, MI - Metro/Wayne County ,DTW
Dublin, Ireland ,DUB
Dunedin, New Zealand ,DUD
Dubois, PA ,DUJ
Dumai, Indonesia ,DUM
Duncan/Quam, BC ,DUQ
Durban, South Africa ,DUR
Dusseldorf, Germany - International ,DUS
Dutch Harbor, AK ,DUT
Devil's Lake, ND ,DVL
Davao, Philipines - Mati ,DVO
Soalala, Madagascar ,DWB
Dubai, United Arab Emirates ,DXB
Dayang, China ,DYG
Anadyr, Russia ,DYR
Dushanbe, Tajikistan ,DYU
Dzaoudzi, Mayotte ,DZA
Emae, Vanuata ,EAE
Nejran, Saudi Arabia ,EAM
Kearney, NE ,EAR
San Sebastian, Spain ,EAS
Wenatchee, WA ,EAT
Eau Claire, WI ,EAU
Elba Island, Italy ,EBA
Entebbe, Uganda ,EBB
El Obeid, Sudan ,EBD
Esbjerg, Denmark - Esbjerg Airport ,EBJ
Ebon, Marshall Islands ,EBO
St. Etienne, France ,EBU
Ercan, Cyprus ,ECN
Edna Bay, AK ,EDA
Edinburgh, United Kingdom ,EDI
Eldoret, Kenya ,EDL
Edremit, Turkey ,EDO
Edward River, Australia ,EDR
Eek, AK ,EEK
Keene, NH ,EEN
Kefallinia, Greece ,EFL
Bergerac, France ,EGC
Vail, CO - Eagle County Airport ,EGE
Neghelli, Ethiopia ,EGL
Sege, Solomon Islands ,EGM
Geneina, Sudan ,EGN
Belgorod, Russia ,EGO
Egilsstadir, Iceland ,EGS
El Bolsan, Argentina ,EHL
Cape Newenham, AK ,EHM
Eisenach, Germany ,EIB
Eindhoven, Netherlands ,EIN
Beef Island, British Virgin Islands ,EIS
Barran Cabermeja, Colombia ,EJA
Wedjh, Saudi Arabia ,EJH
Elko, NV ,EKO
Elcho Island, Australia ,ELC
El Dorado, AR ,ELD
El Real, Panama ,ELE
El Fasher, Sudan ,ELF
Eleuthera Island, Bahamas ,ELH
North Eleuthera, Bahamas ,ELH
Elim, AK ,ELI
Elmira, NY ,ELM
El Paso, TX ,ELP
Gassim, Saudi Arabia ,ELQ
East London, South Africa ,ELS
El Oved, Algeria ,ELU
Elfin Cove, AK ,ELV
Nottingham, United Kingdom ,EMA
Emerald, Australia ,EMD
Emmonak, AK ,EMK
Nema, Mauritania ,EMN
Emo, Papua New Guinea ,EMO
Embessa, Papua New Guinea ,EMS
El Maiten, Argentina ,EMX
Kenai, AK ,ENA
Ende, Indonesia ,ENE
Enontekio, Finland ,ENF
Enshi, China ,ENH
Enewetak Island, Marshall Islands ,ENT
Enugu, Nigeria ,ENU
Yan'an, China ,ENY
Medellin, Colombia - Enrique Olaya Herrera ,EOH
Eday, United Kingdom ,EOI
Epinal, France ,EPL
Esperance, Australia ,EPR
El Portillo/Samana, Dominician Republic - El Portillo,EPS
Esquel, Argentina ,EQS
Erzincan, Turkey ,ERC
Erfurt, Germany ,ERF
Erie, PA ,ERI
Erzurum, Turkey ,ERZ
Ankara, Turkey - Esenboga ,ESB
Escanaba, MI ,ESC
Elista, Russia ,ESL
Esmeraldas, Ecuador ,ESM
El Salvador, Chile ,ESR
Elat, Italy ,ETH
Metz/Nancy, France ,ETZ
Eureka, NV ,EUE
Eugene, OR ,EUG
Laayoune, Morocco ,EUN
St. Eustatius, Netherlands Antilles ,EUX
Harstad-Narvik, Norway ,EVE
Sveg, Sweden ,EVG
Yerevan, Armenia ,EVN
Evansville, IN ,EVV
Ewer, Indonesia ,EWE
Enarotali, Indonesia ,EWI
Newark, NJ ,EWR
Exmouth Gulf, Australia ,EXM
Eveter, United Kingdom ,EXT
Yelimane, Mali ,EYL
El Yopal, Colombia ,EYP
Key West, FL ,EYW
Buenos Aires, Argentina - Ministro Pistarini ,EZE
Elazig, Turkey ,EZS
Faroe Islands, Faroe Islands ,FAE
Fairbanks, AK ,FAI
Fajard, Puerto Rico ,FAJ
Faro, Portugal ,FAO
Fargo, ND ,FAR
Fresno, CA ,FAT
Fakarava, French Polynesia ,FAV
Fayetteville, NC ,FAY
Lumbashi, Congo ,FBM
Rome, Italy - Leonardo Da Vinci/Fiumicino ,FCO
Forde, Norway ,FDE
Fort De France, Martinique ,FDF
Friedrichshafer, Germany ,FDH
Fergana, Uzbekistan ,FEG
Fernando De Noronha, Brazil ,FEN
Fez, Morocco ,FEZ
Apia, Western Samoa ,FGI
Fair Isle, United Kingdom ,FIE
Kinshasa, Congo ,FIH
Fitzroy Crossing, Australia ,FIZ
Al-Fujairah, United Arab Emirates ,FJR
Karlsruhe/Badern Baden, Germany ,FKB
Franklin, PA ,FKL
Fak Fak, Indonesia ,FKQ
Fukushima, Japan ,FKS
Florencia, Colombia ,FLA
Flensburg, Germany ,FLF
Flagstaff, AZ ,FLG
Fort Lauderdale, FL ,FLL
Florianopolis, Brazil ,FLN
Florence, SC ,FLO
Florence, Italy - Peretola ,FLR
Flores Island, Portugal ,FLW
Formosa, Argentina ,FMA
Muenster, Germany ,FMO
Freetown, Sierra Leone - Lungi Intl ,FNA
Funchal, Portugal ,FNC
Nimes, France ,FNI
Pyongyang, North Korea ,FNJ
Fort Collins/Loveland, CO - Municipal Airport ,FNL
Loveland/Fort Collins, CO - Municipal Airport ,FNL
Flint, MI ,FNT
Fuzhou, China ,FOC
Fort Dodge, IA ,FOD
Topeka, KS ,FOE
Foggia, Italy ,FOG
Fortaleza, Brazil ,FOR
Freeport, Bahamas ,FPO
Frankfurt, Germany - International ,FRA
Franca, Brazil ,FRC
Fera Island, Solomon Islands ,FRE
Floro, Norway ,FRO
Flores, Guatemala ,FRS
Bishkek, Kyrgyzstan ,FRU
Francistown, Botswana ,FRW
Figari, France ,FSC
Sioux Falls, SD ,FSD
Fort Smith, AR ,FSM
St Pierre, St Pierre and Miquelon ,FSP
Futuna Island, Vanuatu ,FTA
Fort Dauphin, Madagascar ,FTU
Fuerteventura, Spain ,FUE
Puerto del Rosario, Spain ,FUE
Fuyang, China ,FUG
Fukue, Japan ,FUJ
Fukuoka, Japan ,FUK
Funafuti Atol, Tuvalu ,FUN
Futuna Island, Wallis and Futuna Islands ,FUT
Fort Wayne, IN ,FWA
Skopie,FYROM ,SKP
Fayetteville, AR - Municipal/Drake ,FYV
Filton, United Kingdom ,FZO
Gafsa, Tunisia ,GAF
Yamagata, Japan ,GAJ
Gan Island, Maldives ,GAN
Guantanamo, Cuba ,GAO
Garaina, Papua New Guinea ,GAR
Gawahati, India ,GAU
Gamba, Gabon ,GAX
Gaborone, Botswana ,GBE
Goulburn Island, Australia ,GBL
Gillette, WY ,GCC
Guernsey, United Kingdom ,GCI
Garden City, KS ,GCK
Grand Cayman, Cayman Islands ,GCM
Grand Canyon, AZ - National Park ,GCN
Gode/Iddidole, Ethopia ,GDE
Guadalajara, Mexico ,GDL
Gdansk, Poland ,GDN
Gondari, Ethiopia ,GDQ
Grand Turk Island, Turks and Caicos Islands ,GDT
Glendive, MT ,GDV
Magadan, Russia ,GDX
Gelendzik, Russia ,GDZ
Noumea, New Caledonia - Magenta ,GEA
Gebe, Indonesia ,GEB
Spokane, WA ,GEG
Santo Angelo, Brazil ,GEL
Georgetown, Guyana ,GEO
Nueva Gerona, Cuba ,GER
General Santos, Philippines ,GES
Gallivare, Sweden ,GEV
Griffith, Australia ,GFF
Grand Forks, ND ,GFK
Grafton, Australia ,GFN
Gladewater/Kilgore, TX ,GGG
Kilgore/Gladewater, TX ,GGG
Longview, TX ,GGG
Gagnoa, Cote D'Ivoire ,GGN
Gobernador Gregores, Argentina ,GGS
George Town, Bahamas ,GGT
Glasgow, MT ,GGW
Ghardala, Algeria ,GHA
Governors Harbour, Bahamas ,GHB
Garachine, Panama ,GHE
Ghat, Libya ,GHT
Gibraltar, Gibraltar ,GIB
Boiju Island, Australia ,GIC
Gilgit, Pakistan ,GIL
Gisborne, New Zealand ,GIS
Gizan, Saudi Arabia ,GIZ
Guanaja, Honduras ,GJA
Jijel, Algeria ,GJL
Grand Junction, CO ,GJT
Goroka, Papua New Guinea ,GKA
Glasgow, United Kingdom - Glasgow International ,GLA
Golfito, Costa Rica ,GLF
Greenville, MS ,GLH
Glen Innes, Australia ,GLI
Gladstone, Australia ,GLT
Golovin, AK ,GLV
Gambela, Ethiopia ,GMB
Seoul, South Korea - Gimpo International ,GMP
Grenoble, France ,GNB
Goodnews Bay, AK ,GNU
Gainesville, FL ,GNV
Genoa, Italy ,GOA
Goba, Ethiopia ,GOB
Gonalia, Papua New Guinea ,GOE
Nuuk, Greenland ,GOH
Goa, India ,GOI
Nizhniy Novgorod, Russia ,GOJ
Groton/New London, CT ,GON
Golmud, China ,GOQ
Gore, Ethiopia ,GOR
Gothenburg, Sweden - Landvetter ,GOT
Garoua, Cameroon ,GOV
Gove, Australia ,GOV
Patras, Greece ,GPA
Garden Point, Australia ,GPN
Galapagos, Ecuador ,GPS
Biloxi/Gulfport, MS ,GPT
Gulfport, MS ,GPT
Grand Rapids, MN ,GPZ
Green Bay, WI ,GRB
Grand Island, NE ,GRI
George, South Africa ,GRJ
Garasa, Papua New Guinea ,GRL
Gerona, Spain ,GRO
Groningen, Netherlands ,GRQ
Grand Rapids, MI ,GRR
Sao Paulo, Brazil - Guarulhos Intl ,GRU
Graciosa Island, Portugal ,GRW
Granada, Spain ,GRX
Grimsey, Iceland ,GRY
Graz, Austria ,GRZ
Gothenburg, Sweden - Saeve ,GSE
Greensboro, NC ,GSO
High Point, NC ,GSO
Greenville/Spartanburg, SC ,GSP
Spartanburg/Greenville, SC ,GSP
Gustavus, AK ,GST
Groofe Eylandt, Australia ,GTE
Great Falls, MT ,GTF
Gorontalo, Indonesia ,GTO
Columbus, MS ,GTR
Guatemala City, Guatemala ,GUA
Guerrero Negro, Mexico ,GUB
Gunnison, CO ,GUC
Goundam, Mali ,GUD
Guiria, Venezuela ,GUI
Guam ,Pacific,GUM
Gallup, NM ,GUP
Alotau, Papua New Guinea ,GUR
Atyrau, Kazakhstan ,GUW
Geneva, Switzerland ,GVA
Governador Valadares, Brazil ,GVR
Gwadar, Pakistan ,GWD
Gwalior, India ,GWL
Westerland, Germany ,GWT
Galway, Ireland ,GWY
Seiyun, Yemen ,GXF
Guayaramerin, Bolivia ,GYA
Guayaquil, Ecuador ,GYE
Argyle, Australia ,GYL
Guaymas, Mexico ,GYM
Goiania, Brazil ,GYN
Gary, IN ,GYY
Gaza City, Occupied Palestinian Territory ,GZA
Gozo, Malta ,GZM
Gizo, Solomon Islands ,GZO
Gaziatep, Turkey ,GZT
Hasvik, Norway ,HAA
Hachijo Jima, Japan ,HAC
Halmstad, Sweden ,HAD
Havasupai, AZ ,HAE
Moroni, Comoros ,HAH
Hanover, Germany ,HAJ
Haikou, China ,HAK
Hamburg, Germany - Fuhisbuettel ,HAM
Hanoi, Viet Nam - Noibai ,HAN
Long Island, Australia ,HAP
Hanimaadhoo, Maldives ,HAQ
Hail, Saudi Arabia ,HAS
Haugesund, Norway ,HAU
Havana, Cuba ,HAV
Hobart, Australia ,HBA
Hobbs, NM ,HBB
Borg El Arab, Egypt ,HBE
Halls Creek, Australia ,HCQ
Holy Cross, AK ,HCR
Heidelberg, Germany ,HDB
Heringsdorf, Germany ,HDF
Hayden, CO ,HDN
Hoedspruit, South Africa ,HDS
Hat Yai, Thailand ,HDY
Heno, Myanmar ,HEH
Helsinki, Finland ,HEL
Heraklian, Greece ,HER
Hohhot, China ,HET
Santo Domingo, Dominican Republic - Herrera ,HEX
Haifa, Israel ,HFA
Hefei, China ,HFE
Hornafjordur, Iceland ,HFN
Hagfors, Sweden ,HFS
Hammerfest, Norway ,HFT
Hargeisa, Somolia ,HGA
Hughenden, Australia ,HGD
Hangzhou, China ,HGH
Helgoland, Germany ,HGL
Mae Hong Son, Thailand ,HGN
Hagerstown, MD ,HGR
Mount Hagen, Papua New Guinea ,HGU
Hilton Head, SC ,HHH
Frankfurt, Germany - Hahn ,HHN
Hualtin, Thailand ,HHQ
Chisholm/Hibbing, MN ,HIB
Hibbing/Chisholm, MN ,HIB
Horn Island Australia ,Australia,HID
Lake Havasu City, AZ ,HII
Hiroshima, Japan - International ,HIJ
Shillavo, Ethiopia ,HIL
Jinju, South Korea - Sancheon ,HIN
Honiara, Solomon Islands ,HIR
Hayman Island, Australia ,HIS
Hivaro, Papua New Guinea ,HIT
Hiroshima, Japan - Hiroshima West ,HIW
Khajuraho, India ,HJR
Healy Lake, AK ,HKB
Hakodate, Japan ,HKD
Hong Kong, Hong Kong ,HKG
Hokitika, New Zealand ,HKK
Hoskins, Papua New Guinea ,HKN
Phuket, Thailand ,HKT
Hickory, NC ,HKY
Hailar, China ,HLD
Hultsfred, Sweden ,HLF
Ulanhot, China ,HLH
Helena, MT ,HLN
Hamilton, New Zealand ,HLZ
Hassi Messaoud, Algeria ,HME
Hermosillo, Mexico ,HMO
Hermavan, Sweden ,HMV
Morioka, Japan ,HNA
Tokyo, Japan - Haneda ,HND
Hoonah, AK ,HNH
Honolulu, HI - Island of Oahu ,HNL
Hana, HI - Island of Maui ,HNM
Haines, AK ,HNS
Hodeidah, Yemen ,HOD
Houeisay, Laos ,HOE
Hofuf, Saudi Arabia ,HOF
Holguin, Cuba ,HOG
Hooker, Australia ,HOK
Homer, AK ,HOM
Huron, SD ,HON
Hof, Germany ,HOQ
Horta, Portugal ,HOR
Hot Springs, AR ,HOT
Houston, TX - All airports ,HOU
Houston, TX - Hobby ,HOU
Orsta-Volda, Norway ,HOV
HaApa, Tonga ,HPA
Hooper Bay, AK ,HPB
Haiphong, Viet Nam - Catbi ,HPH
Westchester County, NY ,HPN
Harbin, China ,HRB
Harare, Zimbabwe ,HRE
Hurghada, Egypt ,HRG
Kharkov, Ukraine ,HRK
Harlingen, TX ,HRL
Harrison, AR ,HRO
Huslia, AK ,HSL
Zhoushan, China ,HSN
Huntsville, AL ,HSV
Chita, Russia ,HTA
Hamilton Island, Australia ,HTI
Hotan, China ,HTN
Hateruma, Japan ,HTR
Ashland, KY,HTS
Huntington, WV,HTS
Terre Haute, IN ,HUF
Huahine, French Polynesia ,HUH
Hue, Viet Nam ,HUI
Hualien, Taiwan - Phi Bai ,HUN
Houn, Libya ,HUQ
Hughes, AK ,HUS
Huanuco, French Polynesia ,HUU
Hudiksvall, Sweden ,HUV
Huatulco, Mexico ,HUX
Humberside, United Kingdom ,HUY
Analalava, Madagascar ,HVA
Hervey Bay, Australia ,HVB
Honningsvag, Norway ,HVG
New Haven, CT ,HVN
Havre, MT ,HVR
Hwange Nat Park, Zimbabwe ,HWN
Hyannis, MA ,HYA
Hyderabad, India ,HYD
Hydaburg, AK ,HYG
Hollis, AK ,HYL
Huargyan, China ,HYN
Hays, KS ,HYS
Hanzhang, China ,HZG
Igarka, Russia ,IAA
Washington DC - Dulles ,DC,IAD
Houston, TX - Intercontinental ,IAH
In Amenas, Algeria ,IAM
Kiana, AK ,IAN
Yaroslavl, Russia ,IAR
Iasi, Romania ,IAS
Ibague, Colombia ,IBE
Ibiza, Spain ,IBZ
Cicia, Fiji ,ICI
Seoul, South Korea - Incheon International ,ICN
Wichita, KS ,ICT
Idaho Falls, ID ,IDA
Indagen, Papua New Guinea ,IDN
Indore, India ,IDR
Zielana, Poland ,IEG
Kiev, Ukraine - Zhulhany ,IEV
Isafjordur, Iceland ,IFJ
Isfahan, Iran ,IFN
Ivano-Frankovsk, Ukraine ,IFO
Bullhead City/Laughlin, AZ ,IFP
Inagua, Bahamas ,IGA
Igiugig, AK ,IGG
Kingman, AZ ,IGM
Iguazu, Argentina ,IGR
Iguassu Falls,Brazil,IGU
Ihu, Papua New Guinea ,IHU
Nikolski, AK ,IKO
Tiksi, Russia ,IKS
Irkutsk, Russia ,IKT
Illaga, Indonesia ,ILA
Killeen, TX ,ILE
Ilford, MB ,ILF
Iliamna, AK ,ILI
Wilmington, NC ,ILM
Iloilo, Philippines - Mandurriao ,ILO
Ile Des Pins, New Caledonia ,ILP
Islay, United Kingdom ,ILY
Imphal, India ,IMF
Imperatriz, Brazil ,IMP
Iron Mountain, MI ,IMT
Inta, Russia ,INA
Yinchuan, China ,INC
Indianapolis, IN ,IND
Lago Argentina, Argentina ,ING
International Falls, MN ,INL
Innsbruck, Austria ,INN
Nauru Island, Nauru ,INU
Inverness, United Kingdom ,INV
Inanwatan, Indonesia ,INX
Ioannina, Greece ,IOA
Isle of Man, United Kingdom ,IOM
Ioma, Papua New Guinea ,IOP
Ilheus, Brazil ,IOS
Ipota, Vanuatu ,IPA
Ipil, Philippines ,IPE
Ipoh, Malaysia ,IPH
Ipiales, Colombia ,IPI
El Centro, CA ,IPL
Imperial, CA ,IPL
Ipatinga, Brazil ,IPN
Williamsport, PA ,IPT
Qiemo, China ,IQM
Iquique, Chile ,IQQ
Iquitos, Peru ,IQT
Kirakira, Solomon Islands ,IRA
Circle, AK ,IRC
Lockhart River, Australia ,IRG
La Rioja, Argentina ,IRJ
Kirksville, MO ,IRK
Mount Isa, Australia ,ISA
Islamabad, Pakistan ,ISB
Isles of Scilly, United Kingdom - St Marys ,ISC
Ishigakij, Japan ,ISG
Williston, ND ,ISN
Islip, NY ,ISP
Istanbul, Turkey ,IST
Itaituba, Brazil ,ITB
Ithaca, NY ,ITH
Itokama, Papua New Guinea ,ITK
Osaka, Japan - Itami ,ITM
Hilo, HI - Island of Hawaii ,ITO
Niue Island, Niue ,IUE
Ilu, Indonesia ,IUL
Ambanja, Madagascar ,IVA
Invercargill, New Zealand ,IVC
Ivalo, Finland ,IVL
Inverell, Australia ,IVR
Ironwood, MI ,IWD
Iwami, Japan ,IWJ
Agartala, India ,IXA
Bagdogra, India ,IXB
Chandigarh, India ,IXC
Mangalore, India ,IXE
Jommu, India ,IXJ
Leh, India ,IXL
Madurai, India ,IXM
Ranchi, India ,IXR
Silchar, India ,IXS
Aurangabad, India ,IXU
Port Blair, India ,IXZ
Inyokern, CA ,IYK
Izumo, Japan ,IZO
Ixtepec, Mexico ,IZT
Jackson Hole, WY ,JAC
Jacobabad, Pakistan ,JAG
Jaipur, India ,JAI
Jalapa, Mexico ,JAL
Jackson, MS ,JAN
Jacquinot Bay, Papua New Guinea ,JAQ
Jabor, Marshall Islands ,JAT
Ilulissat, Greenland ,JAV
Jacksonville, FL ,JAX
Jonesboro, AR ,JBR
Cannes, France - Coisette Heliport ,JCA
Julia Creek, Australia ,JCK
Jacareacanga, Brazil ,JCR
Ceuta, Spain and Canary Islands ,JCU
Juiz De Fora, Brazil ,JDF
Jodhpur, India ,JDH
Juazeiro Do Norte, Brazil ,JDO
Jingdezhen, China ,JDZ
Jeddah, Saudi Arabia ,JED
Aasiaat, Greenland ,JEG
Jeh, Marshall Islands ,JEJ
Jersey, United Kingdom ,JER
New York, NY - Kennedy ,JFK
Paamiut, Greenland ,JFR
Jamnagar, India ,JGA
Grand Canyon, AZ - Heliport ,JGC
Jiayuguan, China ,JGN
Groennedal, Greenland ,JGR
Johor, Malaysia ,JHB
Angelholm/Helsingborg, Sweden ,JHE
Jinghong, China ,JHG
Kapalua, HI - Island of Maui,JHM
Shute Harbor, Australia ,JHQ
Sisimiut, Greenland ,JHS
Jamestown, NY ,JHW
Djibouti, Djibouti ,JIB
Jijiga, Ethiopia ,JIJ
Jimma, Ethiopia ,JIM
Jinja, Uganda ,JIN
Jiwani, Pakistan ,JIW
Jinjiang, China ,JJN
Qaqortoq, Greenland ,JJU
Jonkoping, Sweden ,JKG
Janakpur, Nepal ,JKR
Joplin, MO ,JLN
Mikonos, Greece ,JMK
Jomsom, Nepal ,JMO
Jamestown, ND ,JMS
Jiamusi, China ,JMU
Johannesburg, South Africa ,JNB
Nanortalik, Greenland ,JNN
Narsaq, Greenland ,JNS
Juneau, AK ,JNU
Jinzhou, China ,JNZ
Joensuu, Finland ,JOE
Yogyakarta, Indonesia ,JOG
Joinville, Brazil ,JOI
Johnston Island, US Minor Outlying Islands ,JON
Joao Pessoa, Brazil ,JPA
Ji-Parana, Brazil ,JPR
Jaque, Panama ,JQE
Jorhat, India ,JRH
Kilimanjaro, Tanzania ,JRO
Skiathos, Greece ,JSI
Jose De San Martin, Argentina ,JSM
Jessore, Bangladesh ,JSR
Johnstown, PA ,JST
Mariitsoq, Greenland ,JSU
Thira, Greece ,JTR
Juist, Germany ,JUI
Jujuy, Argentina ,JUJ
Juliaca, Peru ,JUL
Upernavik, Greenland ,JUV
Juzha, China ,JUZ
Ankavandra, Madagascar ,JVA
Janesville, WI ,JVL
Jyvaskyla, Finland ,JYV
Kasama, Zambia ,KAA
Kariba, Zimbabwe ,KAB
Kameshli, Syrian Arab Republic ,KAC
Kake, AK ,KAE
Gangneung, South Korea ,KAG
Kajaani, Finland ,KAJ
Kaltag, AK ,KAL
Kano, Nigeria ,KAN
Kuusamo, Finland ,KAO
Kaitaia, New Zealand ,KAT
Kawthaung, Myanmar ,KAW
Kalbarri, Australia ,KAX
Birch Creek, AK ,KBC
Karubaga, Indonesia ,KBF
Kabul, Afghanistan ,KBL
Kabwun, Papua New Guinea ,KBM
Kiev, Ukraine - Borispol ,KBP
Kota Bharu, Malaysia ,KBR
Kaben, Marshall Islands ,KBT
Krabi, Thailand ,KBV
Kambuaya, Indonesia ,KBX
Coffman Cove, AK ,KCC
Kamur, Indonesia ,KCD
Kadanwari, Pakistan ,KCF
Chignik, AK - Fisheries ,KCG
Kuching, Malaysia ,KCH
Chignik, AK - Lagoon ,KCL
Kahramanmaras, Turkey ,KCM
Chignik, AK - ,KCQ
Kochi, Japan ,KCZ
Khuzdar, Pakistan ,KDD
Kendari, Indonesia ,KDI
Kardia, Estonia ,KDL
Kaadedhdhoo, Maldives ,KDM
Kadhonoo, Maldives ,KDO
Reykjavik, Iceland ,KEF
Ekwok, AK ,KEK
Keewaywin, ON ,KEW
Kaliningrad, Russia ,KGD
New Koliganek, AK ,KGK
Kigali, Rwanda ,KGL
Grayling, AK ,KGX
Karachi, Pakistan - Quaid-E-Azam International ,KHI
Kingfisher Lake, ON ,KIF
Kingston, Jamaica - Norman Manley ,KIN
Chisinau, Republic of Moldova ,KIV
Osaka, Japan - Kansai Intl ,KIX
Kongiganak, AK ,KKH
Akiachak, AK ,KKI
Ekuk, AK ,KKU
Kalskag, AK ,KLG
Levelock, AK ,KLL
Klawock, AK ,KLW
Manokotak, AK ,KMO
Kakhonak, AK ,KNK
New Stuyahok, AK ,KNW
Kona, HI - Island of Hawaii ,KOA
Kotlik, AK ,KOT
Point Baker, AK ,KPB
Port Clarence, AK ,KPC
Kipnuk, AK ,KPN
Perryville, AK ,KPV
Akuton, AK ,KQA
Krakow, Poland ,KRK
Saint Mary's, AK ,KSM
Thorne Bay, AK ,KTB
Kitadaito, Japan ,KTD
Kathmandu, Nepal ,KTM
Ketchikan, AK ,KTN
Kingston, Jamaica - Tinson ,KTP
Katherine, Australia,KTR
Teller Mission, AK ,KTS
Kittila, Finland ,KTT
Katowice, Poland ,KTW
Kuantan, Malaysia ,KUA
Kudat, Malaysia ,KUD
Samara, Russia ,KUF
Kubin Island, Australia ,KUG
Kushiro, Japan ,KUH
Kasigluk, AK ,KUK
Kuala Lumpur, Malaysia ,KUL
Kaunas, Lithuania ,KUN
Kuopio, Finland ,KUO
Kuri, Papua New Guinea ,KUQ
Kulusuk, Greenland ,KUS
Kutaisi, Georgia ,KUT
Gunsan, South Korea ,KUV
Kamusi, Papua New Guinea ,KUY
Kavala, Greece ,KVA
Skovde, Sweden ,KVB
King Cove, AK ,KVC
Gyandzha, Azerbaijan ,KVD
Kavieng, Papua New Guinea ,KVG
Kivalina, AK ,KVL
Kwajalein, Marshall Islands ,KWA
Gulyang, China ,KWE
Waterfall, AK ,KWF
Krivoy Rog, Ukraine ,KWG
Kuwait, Kuwait ,KWI
Gwangju, South Korea ,KWJ
Kwigillingok, AK ,KWK
Guilin, China ,KWL
Kowanyama, Australia ,KWM
Quinhagak, AK ,KWN
Kwethluk, AK ,KWT
Kiwayu, Kenya ,KWY
Kasaan, AK ,KXA
Komsomolsk Na Amure, Russia ,KXK
Konya, Turkey ,KYA
Koyukuk, AK ,KYU
Yalumet, Papua New Guinea ,KYX
Kyzyl, Russia ,KYZ
Kaintiba, Papua New Guinea ,KZF
Kazan, Russia ,KZN
Lablab, Papua New Guinea ,LAB
Luanda, Angola ,LAD
Luanda, Angola ,LAD
Lae, Papua New Guinea ,LAE
Lafayette, IN ,LAF
Lannion, France ,LAI
Lages, Brazil ,LAJ
Lansing, MI ,LAN
Laoag, Philippines ,LAO
La Paz, Mexico ,LAP
Beida, Libya - La Braq ,LAQ
Laramie, WY ,LAR
Las Vegas, NV ,LAS
Lamu, Kenya ,LAU
Lawton, OK ,LAW
Los Angeles, CA ,LAX
Leeds, United Kingdom ,LBA
Lubbock, TX ,LBB
Hamburg, Germany - Luebeck ,LBC
Khudzhand, Tajikistan ,LBD
Latrobe, PA ,LBE
North Platte, NE ,LBF
Labuan Bajo, Indonesia ,LBJ
Liberal, KS ,LBL
Long Banga, Malaysia ,LBP
Labasa, Fiji ,LBS
Labuan, Malaysia ,LBU
Libreville, Gabon ,LBV
Long Bawan, Indonesia ,LBW
Larnaca, Cyprus ,LCA
La Ceiba, Honduras ,LCE
La Coruna, Spain ,LCG
Lake Charles, LA ,LCH
London, United Kingdom - London City ,LCY
Londrina, Brazil ,LDB
Lindeman Island, Australia ,LDC
Lourdes/Tarbes, France ,LDE
Lord Howe Island, Australia ,LDH
Lindi, Tanzania ,LDI
Lahadbatu, Malaysia ,LDU
Londonderry, United Kingdom ,LDY
Learmonth, Australia ,LEA
Hanover, NH ,LEB
Lebanon, NH ,LEB
White River, VT ,LEB
Saint Petersburg, Russia - Pulkovo ,LED
St. Petersburg, Russia ,LED
Le Havre, France ,LEH
Almeria, Spain ,LEI
Leipzig, Germany ,LEJ
Lands End, United Kingdom ,LEQ
Leinster, Australia ,LER
Leticia, Colombia ,LET
Bureta, Fiji ,LEV
Lexington, KY ,LEX
Lafayette, LA ,LFT
Lome, Togo ,LFW
New York, NY - La Guardia ,LGA
Long Beach, CA ,LGB
Liege, Belgium ,LGG
Long Island/Deadmans Cay, Bahamas ,LGI
Langkawi, Malaysia ,LGK
Long Lellang, Malaysia ,LGL
Legaspi, Philippines ,LGP
Lago Agrio, Ecuador ,LGQ
Malargue, Argentina ,LGS
London, United Kingdom - Gatwick ,LGW
Lahore, Pakistan ,LHE
Lightning Ridge, Australia ,LHG
London, United Kingdom - Heathrow ,LHR
Lanzhau, Guinea ,LHW
Lifa, New Caledonia ,LIF
Limoges, France ,LIG
Kauai Island/Lihue, HI ,LIH
Lihue, HI - Island of Kaui ,LIH
Mulia, Indonesia ,LII
Likiep Island, Marshall Islands ,LIK
Lille, France - Lesquin ,LIL
Lima, Peru ,LIM
Milan, Italy - Linate ,LIN
Liberia, Costa Rica ,LIR
Lisbon, Portugal ,LIS
Little Rock, AR ,LIT
Lijiang City, China ,LJG
